IndiGo,Jet Airways,Multiple carriers,SpiceJet,others,Chennai,Delhi,Delhi,Kolkata,Kolkata,Mumbai,Cochin,Delhi,Delhi,Hyderabad,Kolkata,Kolkata,New Delhi,Route 1,Route 2,Route 3,Route 4,Route 5,Total_Stops,journey_day,journey_month,dep_time_hour,dep_time_min,arrival_time_hour,arrival_time_min,Duration_hours,Duration_mins,Price
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,21,10,4,0,24,3,22,20,1,10,2,50,3897
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,20,1,3,4,2,5,1,5,50,13,15,7,25,7662
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,27,4,5,4,2,6,9,9,25,4,25,19,0,13882
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,29,3,10,4,1,5,12,18,5,23,30,5,25,6218
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,7,10,4,1,3,1,16,50,21,35,4,45,13302
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,5,21,10,4,0,24,6,9,0,11,25,2,25,3873
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,10,4,1,3,12,18,55,10,25,15,30,11087
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,10,4,1,3,1,8,0,5,5,21,5,22270
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,10,4,1,3,12,8,55,10,25,25,30,11087
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,5,11,25,19,15,7,50,8625
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,5,6,10,4,1,6,1,9,45,23,0,13,15,8907
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,5,21,10,4,0,18,4,20,20,22,55,2,35,4174
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,7,21,10,4,0,24,6,11,40,13,55,2,15,4667
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,5,9,21,10,9,20,12,10,9663
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,5,21,10,4,0,24,4,17,15,19,50,2,35,4804
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,4,5,4,2,3,3,16,40,19,15,26,35,14011
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,32,6,10,4,1,15,4,8,45,13,15,4,30,5830
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,6,12,14,0,12,35,22,35,10262
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,7,4,5,4,2,6,12,20,15,19,15,23,0,13381
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,27,5,16,0,12,35,20,35,12898
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,3,6,6,10,4,1,3,6,14,10,19,20,5,10,19495
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,7,10,4,1,21,3,22,0,13,20,15,20,6955
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,4,3,4,0,6,50,2,50,3943
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,21,10,4,0,5,1,18,55,21,50,2,55,4823
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,3,10,4,1,5,6,18,55,8,15,13,20,7757
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,16,4,5,4,2,6,9,21,25,12,35,15,10,13292
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,27,6,10,4,1,6,1,21,50,3,35,5,45,8238
